quote,movie,type,year,clean_quote,clean_quote_light,clean_quote_strict
My Mama says that alligators are ornery because they got all them teeth and no toothbrush.,The Waterboy,movie,1998,my mama says that alligators are ornery because they got all them teeth and no toothbrush,my mama says that alligators are ornery because they got all them teeth and no toothbrush,mama say alligator ornery get teeth toothbrush
"What I need is a real, live ghost. That's an oxymoron, Daph.",Scooby-Doo on Zombie Island,movie,1998,what i need is a real live ghost thats an oxymoron daph,what i need is a real live ghost that s an oxymoron daph,need real live ghost oxymoron daph
"You can feel the chill in the air, cut, who opened a window?",Scooby-Doo on Zombie Island,movie,1998,you can feel the chill in the air cut who opened a window,you can feel the chill in the air cut who opened a window,feel chill air cut open window
A census taker once tried to test me. I ate his liver with some fava beans and a nice Chianti.,The Silence of the lambs,movie,1998,a census taker once tried to test me i ate his liver with some fava beans and a nice chianti,a census taker once tried to test me i ate his liver with some fava beans and a nice chianti,census taker try test ate liver fava bean nice chianti
"No matter how the wind howls, the mountain cannot bow to it.",Mulan,movie,1998,no matter how the wind howls the mountain cannot bow to it,no matter how the wind howls the mountain cannot bow to it,matter wind howl mountain bow
"I’m the Dude, so that’s what you call me. That or, uh His Dudeness, or uh Duder, or El Duderino, if you’re not into the whole brevity thing.",The Big Lebowski,movie,1998,i’m the dude so that’s what you call me that or uh his dudeness or uh duder or el duderino if you’re not into the whole brevity thing,i m the dude so that s what you call me that or uh his dudeness or uh duder or el duderino if you re not into the whole brevity thing,dude call uh dudeness uh duder el duderino whole brevity thing
Zoinks! How humiliating! Chased into a hole by 1/3 of a B.L.T.!,Scooby-Doo on Zombie Island,movie,1998,zoinks how humiliating chased into a hole by of a blt,zoinks how humiliating chased into a hole by of a b l t,zoinks humiliate chased hole b l
Make the money. Don’t let it make you.,The Player's Club,movie,1998,make the money don’t let it make you,make the money don t let it make you,make money let make
"Wipe your upper lip, romeo.",Scooby-Doo on Zombie Island,movie,1998,wipe your upper lip romeo,wipe your upper lip romeo,wipe upper lip romeo
"Put the weed in the bag first, then get money.",Belly,movie,1998,put the weed in the bag first then get money,put the weed in the bag first then get money,put weed bag first get money
A single grain of rice can tip the scale. One man may be the difference between victory and defeat.,Mulan,movie,1998,a single grain of rice can tip the scale one man may be the difference between victory and defeat,a single grain of rice can tip the scale one man may be the difference between victory and defeat,single grain rice tip scale one man may difference victory defeat
You're taking all the caviar? That caviar is a garnish!,You've Got Mail,movie,1998,youre taking all the caviar that caviar is a garnish,you re taking all the caviar that caviar is a garnish,take caviar caviar garnish
The flower that blooms in adversity is the most rare and beautiful of all.,Mulan,movie,1998,the flower that blooms in adversity is the most rare and beautiful of all,the flower that blooms in adversity is the most rare and beautiful of all,flower bloom adversity rare beautiful
"Like... we're not looking for any ghoul-friends, are we, Scooby?",Scooby-Doo on Zombie Island,movie,1998,like were not looking for any ghoulfriends are we scooby,like we re not looking for any ghoul friends are we scooby,like look ghoul friend scooby
I'm having an old friend for dinner.,The Silence of the lambs,movie,1998,im having an old friend for dinner,i m having an old friend for dinner,old friend dinner
"I live in Notting Hill. You live in Beverly Hills. Everyone in the world knows who you are, my mother has trouble remembering my name.",Notting Hill,movie,1999,i live in notting hill you live in beverly hills everyone in the world knows who you are my mother has trouble remembering my name,i live in notting hill you live in beverly hills everyone in the world knows who you are my mother has trouble remembering my name,live notting hill live beverly hill everyone world know mother trouble remember name
"I'm also just a girl, standing in front of a boy, asking him to love her.",Notting Hill,movie,1999,im also just a girl standing in front of a boy asking him to love her,i m also just a girl standing in front of a boy asking him to love her,also girl stand front boy ask love
Time is always against us.,The Matrix,movie,1999,time is always against us,time is always against us,time always u
"The things you used to own, now they own you.",Fight Club,movie,1999,the things you used to own now they own you,the things you used to own now they own you,thing use
Don't touch my nakama(friend) anymore! ,One Piece,anime,1999,dont touch my nakamafriend anymore,don t touch my nakama friend anymore,touch nakama friend anymore
It’s only after we’ve lost everything that we’re free to do anything.,Fight Club,movie,1999,it’s only after we’ve lost everything that we’re free to do anything,it s only after we ve lost everything that we re free to do anything,lose everything free anything
Don’t let anyone ever make you feel like you don’t deserve what you want.,10 Things I Hate About You,movie,1999,don’t let anyone ever make you feel like you don’t deserve what you want,don t let anyone ever make you feel like you don t deserve what you want,let anyone ever make feel like deserve want
"Unfortunately, no one can be told what the Matrix is. You have to see it for yourself.",The Matrix,movie,1999,unfortunately no one can be told what the matrix is you have to see it for yourself,unfortunately no one can be told what the matrix is you have to see it for yourself,unfortunately one tell matrix see
Ignorance Is Bliss,The Matrix,movie,1999,ignorance is bliss,ignorance is bliss,ignorance bliss
I see dead people.,The Sixth Sense,movie,1999,i see dead people,i see dead people,see dead people
The first rule of Fight Club is: You do not talk about Fight Club.,Fight Club,movie,1999,the first rule of fight club is you do not talk about fight club,the first rule of fight club is you do not talk about fight club,first rule fight club talk fight club
There is a difference between knowing the path and walking the path.,The Matrix,movie,1999,there is a difference between knowing the path and walking the path,there is a difference between knowing the path and walking the path,difference know path walk path
It's only after we've lost everything that we're free to do anything.,Fight Club,movie,1999,its only after weve lost everything that were free to do anything,it s only after we ve lost everything that we re free to do anything,lose everything free anything
 I was the warm little center that the life of this world crowded around.,Fight Club,movie,1999,i was the warm little center that the life of this world crowded around,i was the warm little center that the life of this world crowded around,warm little center life world crowd around
Fear. Fear attracts the fearful… the strong… the weak… the innocent… the corrupt. Fear. Fear is my ally.,Star Wars: Episode I – The Phantom Menace,movie,1999,fear fear attracts the fearful… the strong… the weak… the innocent… the corrupt fear fear is my ally,fear fear attracts the fearful the strong the weak the innocent the corrupt fear fear is my ally,fear fear attract fearful strong weak innocent corrupt fear fear ally
By Grabthar's hammer...what a savings.,Galaxy Quest,movie,1999,by grabthars hammerwhat a savings,by grabthar s hammer what a savings,grabthar hammer saving
Stop trying to control everything and just let go! LET GO!,Fight Club,movie,1999,stop trying to control everything and just let go let go,stop trying to control everything and just let go let go,stop try control everything let go let go
Miracles only happen to those who never give up,One Piece,anime,1999,miracles only happen to those who never give up,miracles only happen to those who never give up,miracle happen never give
You met me at a very strange time in my life,Fight Club,movie,1999,you met me at a very strange time in my life,you met me at a very strange time in my life,meet strange time life
I know kung fu.,The Matrix,movie,1999,i know kung fu,i know kung fu,know kung fu
People hurt the ones they love. That's how it is all around the world,The Green Mile,movie,1999,people hurt the ones they love thats how it is all around the world,people hurt the ones they love that s how it is all around the world,people hurt one love around world
We need guns. Lots of guns.,Matrix,movie,1999,we need guns lots of guns,we need guns lots of guns,need gun lot gun
Damn! We're in a tight spot!,"O Brother, Where Art Thou?",movie,2000,damn were in a tight spot,damn we re in a tight spot,damn tight spot
Are you not entertained?,Gladiator,movie,2000,are you not entertained,are you not entertained,entertain
They called me Mr. Glass.,Unbreakable,movie,2000,they called me mr glass,they called me mr glass,call mr glass
"I hope he didn’t die. Unless he left a note naming me his successor, then I hope he did die.",Futurama,tv,2000,i hope he didn’t die unless he left a note naming me his successor then i hope he did die,i hope he didn t die unless he left a note naming me his successor then i hope he did die,hope die unless left note name successor hope die
There are No Accidents. No Coincidences. No Escapes. YOU CAN'T CHEAT DEATH.,Final Destination,tv,2000,there are no accidents no coincidences no escapes you cant cheat death,there are no accidents no coincidences no escapes you can t cheat death,accident coincidence escape cheat death
"Dude, where's my car?","Dude, Where's My Car?",movie,2000,dude wheres my car,dude where s my car,dude car
Do you know what happens to a toad when it's struck by lightning? The same thing that happens to everything else.,X-men,movie,2000,do you know what happens to a toad when its struck by lightning the same thing that happens to everything else,do you know what happens to a toad when it s struck by lightning the same thing that happens to everything else,know happen toad strike lightning thing happen everything else
Your eyes are like two big blue eyes.,Flintstones in Viva Rock Vegas,movie,2000,your eyes are like two big blue eyes,your eyes are like two big blue eyes,eye like two big blue eye
The key to a woman's heart is an unexpected gift at an unexpected time.,Finding Forrester,movie,2000,the key to a womans heart is an unexpected gift at an unexpected time,the key to a woman s heart is an unexpected gift at an unexpected time,key woman heart unexpected gift unexpected time
"I'll take poor assumptions for $800, Alex.",Finding Forrester,movie,2000,ill take poor assumptions for alex,i ll take poor assumptions for alex,take poor assumption alex
Wilsoooooon.,Cast Away,movie,2000,wilsoooooon,wilsoooooon,wilsoooooon
"Wilma, whatever you decide to do, I want you to know something. Your daddy will always love you.",Flintstones in Viva Rock Vegas,movie,2000,wilma whatever you decide to do i want you to know something your daddy will always love you,wilma whatever you decide to do i want you to know something your daddy will always love you,wilma whatever decide want know something daddy always love
Oh Fred. That's so sweet.,Flintstones in Viva Rock Vegas,movie,2000,oh fred thats so sweet,oh fred that s so sweet,oh fred sweet
"If you utter so much as one syllable, I'LL HUNT YOU DOWN AND GUT YOU LIKE A FISH! If you'd like to fax me, press the star key.",The Grinch,movie,2000,if you utter so much as one syllable ill hunt you down and gut you like a fish if youd like to fax me press the star key,if you utter so much as one syllable i ll hunt you down and gut you like a fish if you d like to fax me press the star key,utter much one syllable hunt gut like fish like fax press star key
"My name is Maximus Decimus Meridius, commander of the Armies of the North, General of the Felix Legions and loyal servant to the true emperor, Marcus Aurelius. Father to a murdered son, husband to a murdered wife. And I will have my vengeance, in this life or the next.",Gladiator,movie,2000,my name is maximus decimus meridius commander of the armies of the north general of the felix legions and loyal servant to the true emperor marcus aurelius father to a murdered son husband to a murdered wife and i will have my vengeance in this life or the next,my name is maximus decimus meridius commander of the armies of the north general of the felix legions and loyal servant to the true emperor marcus aurelius father to a murdered son husband to a murdered wife and i will have my vengeance in this life or the next,name maximus decimus meridius commander army north general felix legion loyal servant true emperor marcus aurelius father murder son husband murder wife vengeance life next
"No thinking -- that comes later. You must write your first draft with your heart. You rewrite with your head. The first key to writing is... to write, not to think!",Finding Forrester,movie,2000,no thinking that comes later you must write your first draft with your heart you rewrite with your head the first key to writing is to write not to think,no thinking that comes later you must write your first draft with your heart you rewrite with your head the first key to writing is to write not to think,think come later must write first draft heart rewrite head first key write write think
We could not talk or talk forever and still find things to not talk about.,Best in Show,movie,2000,we could not talk or talk forever and still find things to not talk about,we could not talk or talk forever and still find things to not talk about,could talk talk forever still find thing talk
Snnnnnooooooooooow!!!!!!!!!,Snow Day,movie,2000,snnnnnooooooooooow,snnnnnooooooooooow,snnnnnooooooooooow
I have nipples Greg. Could you milk me?,Meet the Parents,movie,2000,i have nipples greg could you milk me,i have nipples greg could you milk me,nipple greg could milk
I've gotta get out of this place. Someday I'm getting on that train.,Spirited Away,movie,2001,ive gotta get out of this place someday im getting on that train,i ve gotta get out of this place someday i m getting on that train,get ta get place someday get train
Yeah. We graduated high school. How totally amazing.,Ghost World,movie,2001,yeah we graduated high school how totally amazing,yeah we graduated high school how totally amazing,yeah graduate high school totally amazing
One can never have enough socks.,Harry Potter and the Philosopher's Stone,movie,2001,one can never have enough socks,one can never have enough socks,one never enough sock
"Just what do you think you're doing, Dave?",A Space Odyssey,movie,2001,just what do you think youre doing dave,just what do you think you re doing dave,think dave
"You're a wizard, Harry.",Harry Potter and the Sorcerer's Stone,movie,2001,youre a wizard harry,you re a wizard harry,wizard harry
"What you NEED to do is get me my chips!!! With dip!!! Cuz you're delinquent, motherfucker!",The Wash,movie,2001,what you need to do is get me my chips with dip cuz youre delinquent motherfucker,what you need to do is get me my chips with dip cuz you re delinquent motherfucker,need get chip dip cuz delinquent motherfucker
You shall not pass!,The Lord of the Rings: The Fellowship of the Ring,movie,2001,you shall not pass,you shall not pass,shall pass
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,The Fast and The Furious,movie,2001,ask any racer any real racer it dont matter if you win by an inch or a mile winnings winning,ask any racer any real racer it don t matter if you win by an inch or a mile winning s winning,ask racer real racer matter win inch mile win win
Even the smallest person can change the course of the future.,The Lord of the Rings: The Fellowship of the Ring,movie,2001,even the smallest person can change the course of the future,even the smallest person can change the course of the future,even small person change course future
"So be prepared, be enthusiastic, and leave your bullshit attitude and baggage at the door because we don't need it!",Wet Hot American Summer,movie,2001,so be prepared be enthusiastic and leave your bullshit attitude and baggage at the door because we dont need it,so be prepared be enthusiastic and leave your bullshit attitude and baggage at the door because we don t need it,prepared enthusiastic leave bullshit attitude baggage door need
I live my life a quarter mile at a time.,The Fast and the Furious,movie,2001,i live my life a quarter mile at a time,i live my life a quarter mile at a time,live life quarter mile time
They say that dreams are only real as long as they last. Couldn't you say the same thing about life?,Waking Life,movie,2001,they say that dreams are only real as long as they last couldnt you say the same thing about life,they say that dreams are only real as long as they last couldn t you say the same thing about life,say dream real long last say thing life
All we have to decide what to do with the time that is given to us.,Lord Of The Ring - The Fellowships Of The Ring,movie,2001,all we have to decide what to do with the time that is given to us,all we have to decide what to do with the time that is given to us,decide time give u
Exercise gives you endorphins. Endorphins make you happy. Happy people just don't shoot their husbands. They just don't.,Legally Blonde,movie,2001,exercise gives you endorphins endorphins make you happy happy people just dont shoot their husbands they just dont,exercise gives you endorphins endorphins make you happy happy people just don t shoot their husbands they just don t,exercise give endorphins endorphin make happy happy people shoot husband
What is this? A center for ants?,Zoolander,movie,2001,what is this a center for ants,what is this a center for ants,center ant
All we have to decide is what to do with the time that is given us.,The Lord of the Rings: The Fellowship of the Ring,movie,2001,all we have to decide is what to do with the time that is given us,all we have to decide is what to do with the time that is given us,decide time give u
"Of the days that I have lived, only those I spent with you seemed real.",Cowboy Bebop: The Movie,movie,2001,of the days that i have lived only those i spent with you seemed real,of the days that i have lived only those i spent with you seemed real,day live spent seem real
Ogres are like onions.,Shrek,movie,2001,ogres are like onions,ogres are like onions,ogre like onion
"Once you meet someone, you never really forget them. It just takes a while for your memory to come back to you",Spirited Away,movie,2001,once you meet someone you never really forget them it just takes a while for your memory to come back to you,once you meet someone you never really forget them it just takes a while for your memory to come back to you,meet someone never really forget take memory come back
I don't know half of you half as well as I should like; and I like less than half of you half as well as you deserve.,The Lord of the Rings: The Fellowship of the Ring,movie,2001,i dont know half of you half as well as i should like and i like less than half of you half as well as you deserve,i don t know half of you half as well as i should like and i like less than half of you half as well as you deserve,know half half well like like less half half well deserve
The greatest thing you’ll ever learn is just to love and be loved in return.,Moulin Rouge,movie,2001,the greatest thing you’ll ever learn is just to love and be loved in return,the greatest thing you ll ever learn is just to love and be loved in return,great thing ever learn love love return
It's only in the mysterious equation of love that any logical reasons can be found.,A Beautiful Mind,movie,2001,its only in the mysterious equation of love that any logical reasons can be found,it s only in the mysterious equation of love that any logical reasons can be found,mysterious equation love logical reason find
"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.",The Lord of The Rings: The Fellowship of the Ring,movie,2001,one ring to rule them all one ring to find them one ring to bring them all and in the darkness bind them,one ring to rule them all one ring to find them one ring to bring them all and in the darkness bind them,one ring rule one ring find one ring bring darkness bind
Even the smallest person can change the course of history.,The Lord of the Rings: The Fellowship of the Ring,movie,2001,even the smallest person can change the course of history,even the smallest person can change the course of history,even small person change course history
"It’s a dangerous business, going out your door…You step into the Road, and if you don’t keep your feet, there is no knowing where you might be swept off to.",The Lord of the Rings: The Fellowship of the Ring,movie,2001,it’s a dangerous business going out your door…you step into the road and if you don’t keep your feet there is no knowing where you might be swept off to,it s a dangerous business going out your door you step into the road and if you don t keep your feet there is no knowing where you might be swept off to,dangerous business go door step road keep foot know might sweep
"No, I like you very much, just as you are.",Bridget Jone's Diary,movie,2001,no i like you very much just as you are,no i like you very much just as you are,like much
"Welcome the rich man, he's hard for you to miss. His butt keeps getting bigger, so there's plenty there to kiss!",Spirited Away,movie,2001,welcome the rich man hes hard for you to miss his butt keeps getting bigger so theres plenty there to kiss,welcome the rich man he s hard for you to miss his butt keeps getting bigger so there s plenty there to kiss,welcome rich man hard miss butt keep get big plenty kiss
Do you like dags?,The Snatch,movie,2001,do you like dags,do you like dags,like dag
"There’s some good in this world, and it’s worth fighting for.",The Lord of the Rings: The Two Towers,movie,2002,there’s some good in this world and it’s worth fighting for,there s some good in this world and it s worth fighting for,good world worth fight
I'm tired of people who judge me without knowing my history.,8 miles,movie,2002,im tired of people who judge me without knowing my history,i m tired of people who judge me without knowing my history,tired people judge without know history
"I don't like sand. It's all coarse, and rough, and irritating. And it gets everywhere.",The Lord of the Rings: The Two Towers,movie,2002,i dont like sand its all coarse and rough and irritating and it gets everywhere,i don t like sand it s all coarse and rough and irritating and it gets everywhere,like sand coarse rough irritate get everywhere
"Your time will come. You will face the same Evil, and you will defeat it.",The Lord of the Rings: The Fellowship of the Ring,movie,2002,your time will come you will face the same evil and you will defeat it,your time will come you will face the same evil and you will defeat it,time come face evil defeat
The battle of Helm's Deep is over; the battle for Middle Earth is about to begin. ,The Lord of the Rings: The Two Towers,movie,2002,the battle of helms deep is over the battle for middle earth is about to begin,the battle of helm s deep is over the battle for middle earth is about to begin,battle helm deep battle middle earth begin
It is not our abilities that show what we truly are… it is our choices.,Harry Potter and the Chamber of Secrets,movie,2002,it is not our abilities that show what we truly are… it is our choices,it is not our abilities that show what we truly are it is our choices,ability show truly choice
With great power comes great responsibility.,Spider Man,movie,2002,with great power comes great responsibility,with great power comes great responsibility,great power come great responsibility
"Dadinho é o caralho, meu nome é Zé Pequeno porra!",Cidade de Deus,movie,2002,dadinho é o caralho meu nome é zé pequeno porra,dadinho o caralho meu nome z pequeno porra,dadinho caralho meu nome z pequeno porra
There is always hope.,The Lord of the Rings: The Two Towers,movie,2002,there is always hope,there is always hope,always hope
"You know, I'm something of a scientist myself.",Spiderman,movie,2002,you know im something of a scientist myself,you know i m something of a scientist myself,know something scientist
"Li'l dice my ass, my name is now Li'l Zé now",City of God,movie,2002,lil dice my ass my name is now lil zé now,li l dice my ass my name is now li l z now,li l dice as name li l z
"But in the end it’s only a passing thing, this shadow, even darkness must pass.",The Lord of the Rings: The Two Towers,movie,2002,but in the end it’s only a passing thing this shadow even darkness must pass,but in the end it s only a passing thing this shadow even darkness must pass,end pass thing shadow even darkness must pass
My precious...,The Lord of the Rings: The Two Towers,movie,2002,my precious,my precious,precious
Dark have been my dreams of late.,The Lord of the Rings: The Two Towers,movie,2002,dark have been my dreams of late,dark have been my dreams of late,dark dream late
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",Harry Potter and the Chamber of Secrets,movie,2002,it takes a great deal of bravery to stand up to our enemies but just as much to stand up to our friends,it takes a great deal of bravery to stand up to our enemies but just as much to stand up to our friends,take great deal bravery stand enemy much stand friend
"Ye best start believin' in ghost stories, Miss Turner. Yer in one.",Pirates of the Carribean,movie,2003,ye best start believin in ghost stories miss turner yer in one,ye best start believin in ghost stories miss turner yer in one,ye best start believin ghost story miss turner yer one
This is the day you will always remember as the day you almost caught Captain Jack Sparrow,Pirates of the Caribbean: The Curse of the Black Pearl,movie,2003,this is the day you will always remember as the day you almost caught captain jack sparrow,this is the day you will always remember as the day you almost caught captain jack sparrow,day always remember day almost catch captain jack sparrow
You sit on a throne of lies.,Elf,movie,2003,you sit on a throne of lies,you sit on a throne of lies,sit throne lie
"To me, you are perfect.",Love Actually,movie,2003,to me you are perfect,to me you are perfect,perfect
I will not say: do not weep; for not all tears are an evil.,The Lord of the Rings: Return of the King,movie,2003,i will not say do not weep for not all tears are an evil,i will not say do not weep for not all tears are an evil,say weep tear evil
"I want to change things. I want to believe that anything can be changed. The moment I met you, a new world opened up for me. You see, after wandering in the darkness for so long, a light brought me happiness. It’s all thanks to you.",Chrono Crusade,anime,2003,i want to change things i want to believe that anything can be changed the moment i met you a new world opened up for me you see after wandering in the darkness for so long a light brought me happiness it’s all thanks to you,i want to change things i want to believe that anything can be changed the moment i met you a new world opened up for me you see after wandering in the darkness for so long a light brought me happiness it s all thanks to you,want change thing want believe anything change moment meet new world open see wander darkness long light bring happiness thanks
The thing about romance is people only get together right at the very end.,Love Actually,movie,2003,the thing about romance is people only get together right at the very end,the thing about romance is people only get together right at the very end,thing romance people get together right end
Why are you trying so hard to fit in when you were born to stand out?,What A Girl Wants,movie,2003,why are you trying so hard to fit in when you were born to stand out,why are you trying so hard to fit in when you were born to stand out,try hard fit bear stand
We're goin' streaking!,Old School,movie,2003,were goin streaking,we re goin streaking,goin streak
" You're my boy, Blue!",Old School,movie,2003,youre my boy blue,you re my boy blue,boy blue
"That there’s some good in this world, Mr. Frodo… and it’s worth fighting for.",The Lord of the Rings: The Two Towers,movie,2003,that there’s some good in this world mr frodo… and it’s worth fighting for,that there s some good in this world mr frodo and it s worth fighting for,good world mr frodo worth fight
Just keep swimming.,Finding Nemo,movie,2003,just keep swimming,just keep swimming,keep swimming
The problem is not the problem. The problem is your attitude about the problem. Do you understand?,Pirates of the Carribean,movie,2003,the problem is not the problem the problem is your attitude about the problem do you understand,the problem is not the problem the problem is your attitude about the problem do you understand,problem problem problem attitude problem understand
Not all treasure is silver and gold mate,Pirates of the Carribean,movie,2003,not all treasure is silver and gold mate,not all treasure is silver and gold mate,treasure silver gold mate
The ones that love us never really leave us.,Harry Potter and the Prisoner of Azkaban,movie,2004,the ones that love us never really leave us,the ones that love us never really leave us,one love u never really leave u
"Boo, you whore!",Mean Girls,movie,2004,boo you whore,boo you whore,boo whore
I want to play a game.,Saw,movie,2004,i want to play a game,i want to play a game,want play game
Stop trying to make 'fetch' happen. It's not going to happen.,Mean Girls,movie,2004,stop trying to make fetch happen its not going to happen,stop trying to make fetch happen it s not going to happen,stop try make fetch happen go happen
It's like I have ESPN or something.,Mean Girls,movie,2004,its like i have espn or something,it s like i have espn or something,like espn something
We should totally just stab Caesar!,Mean Girls,movie,2004,we should totally just stab caesar,we should totally just stab caesar,totally stab caesar
Whatever. I'm getting cheese fries.,Mean Girls,movie,2004,whatever im getting cheese fries,whatever i m getting cheese fries,whatever get cheese fry
That is so fetch!,Mean Girls,movie,2004,that is so fetch,that is so fetch,fetch
You gonna eat your tots?,Napoleon Dynamite,movie,2004,you gonna eat your tots,you gonna eat your tots,gon na eat tot
"You gotta hear this one song. It'll change your life, I swear.",Garden State,movie,2004,you gotta hear this one song itll change your life i swear,you gotta hear this one song it ll change your life i swear,get ta hear one song change life swear
A day may come when the courage of men fails… but it is not THIS day.,The Lord of the Rings: Return of the King,movie,2004,a day may come when the courage of men fails… but it is not this day,a day may come when the courage of men fails but it is not this day,day may come courage men fail day
That's why her hair is so big.  It's full of secrets.,Mean Girls,movie,2004,thats why her hair is so big its full of secrets,that s why her hair is so big it s full of secrets,hair big full secret
You've got red on you,Shaun of the Dead,movie,2004,youve got red on you,you ve got red on you,got red
Nobody makes me bleed my own blood. Nobody!,Dodgeball: A True Underdog Story,movie,2004,nobody makes me bleed my own blood nobody,nobody makes me bleed my own blood nobody,nobody make bleed blood nobody
I am gonna kill Bill.,Kill Bill,movie,2004,i am gonna kill bill,i am gonna kill bill,gon na kill bill
Is butter a carb?,Mean Girls,movie,2004,is butter a carb,is butter a carb,butter carb
I solemnly swear that I am up to no good.,Harry Potter and the Prisoner of Azkaban,movie,2004,i solemnly swear that i am up to no good,i solemnly swear that i am up to no good,solemnly swear good
I'm not drinking any f****** Merlot!,Sideways,movie,2004,im not drinking any f merlot,i m not drinking any f merlot,drink f merlot
Your identity is your most valuable possession. Protect it.,The Incredibles,movie,2004,your identity is your most valuable possession protect it,your identity is your most valuable possession protect it,identity valuable possession protect
Nunchuck skills… bowhunting skills… computer hacking skills… Girls only want boyfriends who have great skills!,Napoleon Dynamite,movie,2004,nunchuck skills… bowhunting skills… computer hacking skills… girls only want boyfriends who have great skills,nunchuck skills bowhunting skills computer hacking skills girls only want boyfriends who have great skills,nunchuck skill bowhunting skill computer hack skill girl want boyfriends great skill
"No, I shot him. Bullets and the fall killed him.",Collateral,movie,2004,no i shot him bullets and the fall killed him,no i shot him bullets and the fall killed him,shot bullet fall kill
"They’ve done studies, you know. 60% of the time, it works every time.",Anchorman,movie,2004,they’ve done studies you know of the time it works every time,they ve done studies you know of the time it works every time,do study know time work every time
I wish I could bake a cake filled with rainbows and smiles and everyone would eat and be happy.,Mean Girls,movie,2004,i wish i could bake a cake filled with rainbows and smiles and everyone would eat and be happy,i wish i could bake a cake filled with rainbows and smiles and everyone would eat and be happy,wish could bake cake filled rainbow smile everyone would eat happy
"Four for you, Glen Coco! You go, Glen Coco!",Mean Girls,movie,2004,four for you glen coco you go glen coco,four for you glen coco you go glen coco,four glen coco go glen coco
There's a 30% chance that it's already raining.,Mean Girls,movie,2004,theres a chance that its already raining,there s a chance that it s already raining,chance already rain
She doesn't even go here!,Mean Girls,movie,2004,she doesnt even go here,she doesn t even go here,even go
"You gotta hear this one song. It'll change your life, I swear.",Golden State,movie,2004,you gotta hear this one song itll change your life i swear,you gotta hear this one song it ll change your life i swear,get ta hear one song change life swear
I love lamp.,Anchorman: The Legend of Ron Burgundy,movie,2004,i love lamp,i love lamp,love lamp
"You have bewitched me, body and soul.",Pride and Prejudice,movie,2005,you have bewitched me body and soul,you have bewitched me body and soul,bewitch body soul
And a hero is a person who resigns to be forgotten as we forget the dead for revolution.,Gie,movie,2005,and a hero is a person who resigns to be forgotten as we forget the dead for revolution,and a hero is a person who resigns to be forgotten as we forget the dead for revolution,hero person resigns forget forget dead revolution
"If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals.",Harry Potter and the Goblet of Fire,movie,2005,if you want to know what a man’s like take a good look at how he treats his inferiors not his equals,if you want to know what a man s like take a good look at how he treats his inferiors not his equals,want know man like take good look treat inferior equal
Did you ever hear the tragedy of Darth Plagueis The Wise? I thought not. It's not a story the Jedi would tell you. It's a Sith legend.,Star Wars: Episode III – Revenge of the Sith,movie,2005,did you ever hear the tragedy of darth plagueis the wise i thought not its not a story the jedi would tell you its a sith legend,did you ever hear the tragedy of darth plagueis the wise i thought not it s not a story the jedi would tell you it s a sith legend,ever hear tragedy darth plagueis wise think story jedi would tell sith legend
I am the Jewish James Bond!,Munich,movie,2005,i am the jewish james bond,i am the jewish james bond,jewish james bond
Why do we fall? So we can learn to pick ourselves up.,Batman begins,movie,2005,why do we fall so we can learn to pick ourselves up,why do we fall so we can learn to pick ourselves up,fall learn pick
"If you want to know what a man's like,take a good look at how he treats his inferiors.",Harry Potter and the Goblet of Fire,movie,2005,if you want to know what a mans liketake a good look at how he treats his inferiors,if you want to know what a man s like take a good look at how he treats his inferiors,want know man like take good look treat inferior
You know how I know that you're gay?,The 40-Year-Old Virgin,movie,2005,you know how i know that youre gay,you know how i know that you re gay,know know gay
Life is not the amount of breaths you take. It’s the moments that take your breath away.,Hitch,movie,2005,life is not the amount of breaths you take it’s the moments that take your breath away,life is not the amount of breaths you take it s the moments that take your breath away,life amount breath take moment take breath away
I wish I knew how to quit you.,Brokeback Mountain,movie,2005,i wish i knew how to quit you,i wish i knew how to quit you,wish know quit
I am the senate!,Star Wars: Episode III – Revenge of the Sith,movie,2005,i am the senate,i am the senate,senate
"It's not who I am underneath, but what I do that defines me",Batman Begins,movie,2005,its not who i am underneath but what i do that defines me,it s not who i am underneath but what i do that defines me,underneath defines
Didn't I tell you about the football field in the bathroom cupboard?,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",movie,2005,didnt i tell you about the football field in the bathroom cupboard,didn t i tell you about the football field in the bathroom cupboard,tell football field bathroom cupboard
Why do we fall sir? So that we can learn to pick ourselves up.,Batman Begins,movie,2005,why do we fall sir so that we can learn to pick ourselves up,why do we fall sir so that we can learn to pick ourselves up,fall sir learn pick
What's comin' will come and we'll meet it when it does.,Harry Potter and the Goblet of Fire,movie,2005,whats comin will come and well meet it when it does,what s comin will come and we ll meet it when it does,comin come meet
"Happiness is the most insidious prison of all, Evey.",V for Vendetta,movie,2005,happiness is the most insidious prison of all evey,happiness is the most insidious prison of all evey,happiness insidious prison evey
All's fair in Love and Basketball baby,Love and Basketball,movie,2005,alls fair in love and basketball baby,all s fair in love and basketball baby,fair love basketball baby
