quote,movie,type,year,clean_quote,clean_quote_light,clean_quote_strict
"When I got tired, I slept. When I got hungry, I ate. When I had to go, you know, I went.",Forrest Gump,movie,1994,when i got tired i slept when i got hungry i ate when i had to go you know i went,when i got tired i slept when i got hungry i ate when i had to go you know i went,got tired slept get hungry ate go know go
Some birds aren't meant to be caged. Their feathers are just too bright.,Shawshank Redemption,movie,1994,some birds arent meant to be caged their feathers are just too bright,some birds aren t meant to be caged their feathers are just too bright,bird mean caged feather bright
"Yeah I called her up. She gave me a bunch of crap about me not listening to her, or something. I don't know, I wasn't really paying attention.",Dumb and Dumber,movie,1994,yeah i called her up she gave me a bunch of crap about me not listening to her or something i dont know i wasnt really paying attention,yeah i called her up she gave me a bunch of crap about me not listening to her or something i don t know i wasn t really paying attention,yeah call give bunch crap listen something know really pay attention
"Run, Forrest, run!",Forrest Gump,movie,1994,run forrest run,run forrest run,run forrest run
"Lord, it's a miracle! Man up and vanished like a fart in the wind!",Shawshank Redemption,movie,1994,lord its a miracle man up and vanished like a fart in the wind,lord it s a miracle man up and vanished like a fart in the wind,lord miracle man vanish like fart wind
"The past can hurt. But the way I see it, you can either run from it or learn from it.",The Lion King,movie,1994,the past can hurt but the way i see it you can either run from it or learn from it,the past can hurt but the way i see it you can either run from it or learn from it,past hurt way see either run learn
"Oh yes, the past can hurt. But you can either run from it, or learn from it.",The Lion King,movie,1994,oh yes the past can hurt but you can either run from it or learn from it,oh yes the past can hurt but you can either run from it or learn from it,oh yes past hurt either run learn
"Hope is a good thing, maybe the best of things, and no good thing ever dies.",The Shawshank Redemption,movie,1994,hope is a good thing maybe the best of things and no good thing ever dies,hope is a good thing maybe the best of things and no good thing ever dies,hope good thing maybe best thing good thing ever dy
Everything the light touches is our kingdom.,The Lion King,movie,1994,everything the light touches is our kingdom,everything the light touches is our kingdom,everything light touch kingdom
Life is like a box of chocolates; you never know what you're gonna get.,Forrest Gump,movie,1994,life is like a box of chocolates you never know what youre gonna get,life is like a box of chocolates you never know what you re gonna get,life like box chocolate never know gon na get
"These walls are funny. First you hate ’em. Then you get used to ’em. Enough time passes, you get so you depend on them. That’s institutionalized.",Shawshank Redemption,movie,1994,these walls are funny first you hate ’em then you get used to ’em enough time passes you get so you depend on them that’s institutionalized,these walls are funny first you hate em then you get used to em enough time passes you get so you depend on them that s institutionalized,wall funny first hate em get use em enough time pass get depend institutionalized
"I mean, seriously, how often do you really look at a mans shoes?",Shawshank Redemption,movie,1994,i mean seriously how often do you really look at a mans shoes,i mean seriously how often do you really look at a mans shoes,mean seriously often really look man shoe
"Hope is a good thing, maybe the best of things, and no good thing ever dies.",Shawshank Redemption,movie,1994,hope is a good thing maybe the best of things and no good thing ever dies,hope is a good thing maybe the best of things and no good thing ever dies,hope good thing maybe best thing good thing ever dy
"Everything you see exists together in a delicate balance. As king, you need to understand that balance and respect all the creatures, from the crawling ant to the leaping antelope.",The Lion King,movie,1994,everything you see exists together in a delicate balance as king you need to understand that balance and respect all the creatures from the crawling ant to the leaping antelope,everything you see exists together in a delicate balance as king you need to understand that balance and respect all the creatures from the crawling ant to the leaping antelope,everything see exist together delicate balance king need understand balance respect creatures crawl ant leap antelope
Mama says stupid is as stupid does.,Forrest Gump,movie,1994,mama says stupid is as stupid does,mama says stupid is as stupid does,mama say stupid stupid
"For you, the day Bison graced your village, was the most important day in your life. But for me, it was Tuesday.",Street Fighter,movie,1994,for you the day bison graced your village was the most important day in your life but for me it was tuesday,for you the day bison graced your village was the most important day in your life but for me it was tuesday,day bison grace village important day life tuesday
Salvation lies within.,Shawshank Redemption,movie,1994,salvation lies within,salvation lies within,salvation lie within
Hakuna matata,The Lion King,movie,1994,hakuna matata,hakuna matata,hakuna matata
Don't ever let anybody tell you they’re better than you.,Forrest Gump,movie,1994,dont ever let anybody tell you they’re better than you,don t ever let anybody tell you they re better than you,ever let anybody tell good
Mama always said life was like a box of chocolates. You never know what you're gonna get.,Forrest Gump,movie,1994,mama always said life was like a box of chocolates you never know what youre gonna get,mama always said life was like a box of chocolates you never know what you re gonna get,mama always say life like box chocolate never know gon na get
"Is life always this hard, or is it just when you're a kid?",Léon,movie,1994,is life always this hard or is it just when youre a kid,is life always this hard or is it just when you re a kid,life always hard kid
"They may take our lives, but they'll never take our freedom!",Breaveheart,movie,1995,they may take our lives but theyll never take our freedom,they may take our lives but they ll never take our freedom,may take life never take freedom
"Houston, we have a problem.",Apollo 13,movie,1995,houston we have a problem,houston we have a problem,houston problem
Hack the planet.,Hackers,movie,1995,hack the planet,hack the planet,hack planet
What's in the box?!,Seven,movie,1995,whats in the box,what s in the box,box
"They may take our lives, but they'll never take our freedom!",Braveheart,movie,1995,they may take our lives but theyll never take our freedom,they may take our lives but they ll never take our freedom,may take life never take freedom
" I used to think that if none of your family or friends knew you were dead, it was like not really being dead. People can invent the best and the worst for you.",Before Sunrise,movie,1995,i used to think that if none of your family or friends knew you were dead it was like not really being dead people can invent the best and the worst for you,i used to think that if none of your family or friends knew you were dead it was like not really being dead people can invent the best and the worst for you,use think none family friends knew dead like really dead people invent best bad
The greatest trick the devil ever pulled was convincing the world he didn't exist.,The Usual Suspects,movie,1995,the greatest trick the devil ever pulled was convincing the world he didnt exist,the greatest trick the devil ever pulled was convincing the world he didn t exist,great trick devil ever pull convincing world exist
Bye Felicia!,Friday,movie,1995,bye felicia,bye felicia,bye felicia
Every man dies; not every man really lives.,Braveheart,movie,1995,every man dies not every man really lives,every man dies not every man really lives,every man die every man really live
This isn't flying. This is falling with style!,Toy Story,movie,1995,this isnt flying this is falling with style,this isn t flying this is falling with style,fly fall style
To infinity and beyond!,Toy Story,movie,1995,to infinity and beyond,to infinity and beyond,infinity beyond
"That'll do, pig. That'll do.",Babe,movie,1995,thatll do pig thatll do,that ll do pig that ll do,pig
Get on the scale! Get off the scale!,Heavyweights,movie,1995,get on the scale get off the scale,get on the scale get off the scale,get scale get scale
"Every man dies, but not every man really lives.",Braveheart,movie,1995,every man dies but not every man really lives,every man dies but not every man really lives,every man die every man really live
You can trouble me for a warm glass of SHUT THE HELL UP!! Now you will go to sleep or I will put you to sleep.,Happy Gilmore,movie,1996,you can trouble me for a warm glass of shut the hell up now you will go to sleep or i will put you to sleep,you can trouble me for a warm glass of shut the hell up now you will go to sleep or i will put you to sleep,trouble warm glass shut hell go sleep put sleep
Show me the money!,Jerry Maguire,movie,1996,show me the money,show me the money,show money
You had me at hello.,Jerry Maguire,movie,1996,you had me at hello,you had me at hello,hello
"You little son of a bitch ball! Why you don't you just go HOME? That's your HOME! Are you too good for your HOME? ANSWER ME! SUCK MY WHITE ASS, BALL!",Happy Gilmore,movie,1996,you little son of a bitch ball why you dont you just go home thats your home are you too good for your home answer me suck my white ass ball,you little son of a bitch ball why you don t you just go home that s your home are you too good for your home answer me suck my white ass ball,little son bitch ball go home home good home answer suck white as ball
Some people can’t believe in themselves until someone else believes in them first.,Good Will Hunting,movie,1997,some people can’t believe in themselves until someone else believes in them first,some people can t believe in themselves until someone else believes in them first,people believe someone else believe first
Ain't no rules says a dog can't play basketball.,Air Bud,movie,1997,aint no rules says a dog cant play basketball,ain t no rules says a dog can t play basketball,rule say dog play basketball
Does anything more dangerous than that lurk just beneath the surface?,Titanic,movie,1997,does anything more dangerous than that lurk just beneath the surface,does anything more dangerous than that lurk just beneath the surface,anything dangerous lurk beneath surface
You make me want to be a better man.,As Good as It Gets,movie,1997,you make me want to be a better man,you make me want to be a better man,make want good man
I'm king of the world!,Titanic,movie,1997,im king of the world,i m king of the world,king world
